"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT3G51260.1;AT3G51260.2", 890.1,834.3,979.5,990.5, 2,1, 7,24,,, 6.6,,,, 9.8009e+05,,,, 0.94236,,,, 1.637e+06,,,
"AT1G57720.2;AT1G57720.1", 853.9,854.4,865.2,876, 1,1, 7,,,, 6.83,,,, 8.942e+05,,,, 1.1557,,,, 1.8318e+06,,,
"AT3G09840.1;AT3G53230.1", 821.4,824.8,822.4,829.9, 1,1, 7,,,, 6.96,,,, 1.8443e+06,,,, 0.9441,,,, 3.0862e+06,,,
"AT2G28000.1", 1029,964.6,974.7,987.5, 2,1, 7,27,,, 6.63,,,, 7.3567e+06,,,, 0.93369,,,, 1.2175e+07,,,
"AT1G55490.2;AT1G55490.1", 1044,1001,1012,1058, 2,1, 7,28,,, 6.63,,,, 8.3432e+06,,,, 0.97621,,,, 1.4436e+07,,,
"AT5G22510.1;AT1G56560.1;AT3G05820.1", 682,,,, 1,1, 8,,,, 8.01,,,, 15746,,,, 1.0401,,,, 29029,,,
"AT1G65960.2;AT1G65960.1;AT2G02010.1;AT3G17760.2;AT3G17760.1;AT5G17330.1;AT3G17720.1;AT2G02000.1", 839.2,829.4,823.1,831.4, 3,1, 8,14,26,, 7.97,,,, 2.0366e+05,,,, 1.2762,,,, 4.6068e+05,,,
"ATCG00490.1;ATMG00280.1", 1218,1226,1236,1247, 1,1, 9,,,, 10.4,,,, 4.3565e+07,,,, 3.3911,,,, 2.6185e+08,,,
"AT2G42810.1;AT2G42810.2", 785.2,778.8,789.5,, 2,2, 10,27,,, 11.3,26.2,,, 12029,17271,,, 3.1651,2.1724,,, 67481,66502,,
"AT1G66200.1;AT1G66200.3;AT1G66200.2;AT5G16570.1", 845.7,847.1,857.6,, 1,1, 12,,,, 11.9,,,, 4.3421e+05,,,, 1.5197,,,, 1.1696e+06,,,
"AT2G37020.1;AT2G37020.2", 615,,,, 1,1, 14,,,, 13.7,,,, 17806,,,, 0.90717,,,, 28631,,,
"AT4G34890.1;AT4G34900.1", 655.4,640.8,,, 2,2, 14,25,,, 14.1,25,,, 22739,4909.9,,, 0.71,0.71,,, 28616,6178.9,,
"AT1G37130.1", 767.9,709.1,716.8,718.2, 2,2, 4,14,,, 4,13.7,,, 27880,51733,,, 0.71,0.71,,, 35085,65102,,
"AT3G22960.1", 757.9,760.3,763.3,772.4, 1,1, 14,,,, 14.3,,,, 44958,,,, 2.1972,,,, 1.7509e+05,,,
"AT5G49810.1", 771.7,745.9,753.5,762.4, 2,2, 14,35,,, 13.8,35,,, 79008,23956,,, 1.4549,0.71,,, 2.0374e+05,30147,,
"AT3G01120.1", 757.4,756,,, 2,1, 14,29,,, 13.3,,,, 1.1724e+05,,,, 1.341,,,, 2.7866e+05,,,
"AT1G53310.3;AT1G53310.2;AT1G53310.1", 746.6,744.6,758.8,767, 2,1, 14,37,,, 13.8,,,, 72307,,,, 2.2032,,,, 2.8236e+05,,,
"AT5G18170.1", 786.7,797,807.6,818.3, 1,1, 14,,,, 14.5,,,, 1.3921e+05,,,, 1.4736,,,, 3.6361e+05,,,
"AT1G69830.1", 744.1,736.1,746.5,755.8, 2,1, 14,20,,, 14,,,, 1.7191e+05,,,, 1.0261,,,, 3.1264e+05,,,
"AT1G70410.3;AT1G70410.1;AT1G70410.2;AT1G23730.1", 732.6,737.9,747.8,758, 1,1, 14,,,, 13.9,,,, 1.9058e+05,,,, 1.2423,,,, 4.1965e+05,,,
"AT5G13980.2;AT5G13980.1;AT5G13980.3", 836.6,833.6,837.9,848.3, 2,1, 14,28,,, 14.2,,,, 3.6072e+05,,,, 1.159,,,, 7.4104e+05,,,
