Protein IDs,Bio1_proteinGroups_F28,Bio1_proteinGroups_F29,Bio1_proteinGroups_F30,Bio1_proteinGroups_F31,Bio1_proteinGroups_F32,Bio1_proteinGroups_F33,Bio1_proteinGroups_F34,Bio1_proteinGroups_F35,Bio1_proteinGroups_F36,Bio1_proteinGroups_F37,Bio1_proteinGroups_F38,Bio1_proteinGroups_F39,Bio1_proteinGroups_F40,Bio1_proteinGroups_F41,Bio1_proteinGroups_F42,Bio1_proteinGroups_F43,Bio1_proteinGroups_F44,Bio1_proteinGroups_F45,Bio1_proteinGroups_F46,Bio1_proteinGroups_F47,Bio1_proteinGroups_F48,Bio1_proteinGroups_F49,Bio1_proteinGroups_F50,Bio1_proteinGroups_F51,Bio1_proteinGroups_F52,Bio1_proteinGroups_F53,Bio1_proteinGroups_F54,Bio1_proteinGroups_F55,Bio1_proteinGroups_F56,Bio1_proteinGroups_F57,Bio1_proteinGroups_F58,Bio1_proteinGroups_F59,Bio1_proteinGroups_F60,Bio1_proteinGroups_F61,Bio1_proteinGroups_F62,Bio1_proteinGroups_F63,Bio1_proteinGroups_F64,Bio1_proteinGroups_F65
AT5G11670.1;AT5G25880.1,252.15,181.7,1261.4,0,0,9830,3035.1,4385.4,4918.6,0,4047.3,48957,657620,1225400,1037500,282960,4046.8,0,1792.8,61.64,0,2381.5,11742,3140.9,2602.4,1982.9,9519.6,3446.8,9132.5,0,746.87,6892.2,2760.2,1583.8,61.64,15541,6185.1,2447.7
AT5G53460.3;AT5G53460.2;AT5G53460.1,497.46,140.59,853.08,11636,0,3740.5,164840,41388,346640,11456,9453.8,337410,72564,1099800,869590,292950,31118,1239.8,670.09,11731,11643,3983.7,2994.4,0,3118.8,1744.5,13389,0,2370,2158.6,2012.3,1088.4,7555.5,0,4442.9,4148.8,0,1828.2
AT2G24200.2;AT2G24200.1;AT2G24200.3,19.585,34.273,1187.2,0,0,5572.7,6125.5,1143.3,0,2794.9,22175,237890,1022400,1321800,599150,134360,3121.4,1238.7,1380.7,0,11612,15909,21025,0,6658.2,4907.4,10056,9121.4,19707,449.48,1814.5,0,3750.3,4063.2,0,0,0,12407
AT5G54770.1,770.62,60.45,924.62,3015.4,3687.2,6026.8,15256,19146,7258.5,985.35,23461,126040,924350,1592400,901170,333510,30695,4349.7,3494.9,4807.1,36.823,8048.4,8908.9,8156.8,5079,13144,15757,31174,26911,18021,1100.7,14520,9584.1,10649,0,24.296,48.592,3700.5
AT5G06290.1,0,0,0,6118.4,0,11111,43320,28175,0,10728,26288,352660,702440,783720,283450,121340,0,0,534.09,0,14434,0,0,29056,152210,414950,542340,465050,125690,135140,0,0,12545,5849.6,0,0,0,0
AT2G42600.2;AT2G42600.1;AT3G42628.1,130.73,183.1,5447.4,116.31,0,2526.9,20413,3397.4,891.01,31432,92131,289900,933860,2346100,1943100,888280,123550,4403.2,2530.1,7879.1,685.86,21287,7697.9,16972,0,22019,10305,8465,5617.3,4689.2,2909,18088,0,3119.8,28913,4847.6,6357.1,3900.3
AT5G14740.2;AT5G14740.1;AT5G14740.5;AT5G14740.4;AT5G14740.3,412.24,86.835,411.13,47551,1502.7,27660,10968,3180,1393,1327.5,57390,785830,2360400,2432100,1526800,724730,145710,4664.8,2745.8,13525,25093,49319,192060,250610,300070,150170,90212,53551,21771,11786,590.62,9702.3,16978,2845.2,180.17,9511.1,4431.2,3903.1
AT5G42390.1,0,0,0,0,0,0,0,3626,0,0,0,0,0,0,0,6571.2,5882.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G66670.1,0,0,0,5251.5,0,0,0,0,0,0,0,0,0,0,23559,32198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29880.1;AT3G44740.1,0,0,300.84,3865.8,0,53.265,0,0,1932.9,0,1287.2,1054.5,0,104740,207530,354170,75137,649.17,0,2872.8,4612.1,5386.8,7788.9,0,5771.9,0,0,5881.8,48.236,4486.3,27.741,5689.2,0,1118.3,14171,0,1615,7785.1
AT5G60640.1;AT5G60640.3;AT5G60640.2,0,0,0,0,0,0,0,1662.3,0,1424.2,0,0,0,0,0,3575.7,23722,0,0,0,0,0,0,0,2152.8,0,0,0,0,0,0,0,0,1293.7,330.21,0,0,0
AT5G48230.2;AT5G48230.1,0,0,0,0,819.81,95.651,59.212,0,0,0,0,0,0,0,12471,10452,17574,0,0,0,0,0,0,0,1719.7,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G12410.1,13.977,0,0,0,0,0,0,0,0,0,0,0,0,0,9956.7,5513.9,14980,0,0,8508.5,0,0,55.908,0,0,6105.7,3440.1,9558.6,0,0,0,0,0,0,0,0,0,37.326
AT4G36760.1,0,0,0,0,0,0,0,3907.5,0,0,1631.1,0,0,0,0,17348,31308,0,0,0,18848,7693.1,15343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G48375.1,0,0,0,16908,1192.4,49962,41716,0,8544.2,0,9497.4,0,32215,50255,79683,164350,164920,44064,42562,153300,71545,0,12388,17383,12636,0,2964.1,0,1598.3,0,0,0,0,0,0,0,0,0
AT4G08870.2;AT4G08870.1;AT4G08900.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8385.2,1917.7,5196,9350.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G02720.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50174,35066,7865.7,0,0,0,0,77.334,0,0,0,0,0,0,0,0,0,0,0
AT4G20260.5;AT4G20260.3;AT4G20260.2;AT4G20260.1;AT4G20260.4;AT4G20260.6,0,0,464.75,42.084,0,0,0,0,0,0,0,0,0,0,1509.7,0,487.63,0,12792,26496,16456,9407.4,14858,7651.1,4144.7,0,0,1131.1,750.93,0,0,0,0,0,288.01,0,0,0
AT5G63860.1,0,0,0,0,0,0,586.59,0,0,0,0,0,2732.9,0,0,1684,0,0,0,62829,62741,15570,2440,0,0,0,0,0,0,0,0,0,1937.3,0,0,0,0,0
AT5G27380.1,128.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104680,57604,14257,2868.4,2217.8,0,66311,20672,0,0,0,37.193,0,0,0,0,0,0,0
AT2G05990.2;AT2G05990.1,473.93,48.236,0,0,589.41,0,0,2633.4,0,0,0,2901.2,0,0,10019,0,8514.3,0,10180,153140,125920,33846,4245.6,5029.4,0,0,0,0,0,925.47,0,0,2529.4,0,0,0,0,0
AT3G25530.1;AT3G25530.2,0,0,0,30510,0,6551,14636,1519.2,0,0,0,1442.6,3598.6,0,3818.5,0,0,0,1922.8,250220,206930,52522,46.313,8912.6,0,9101.1,2627.8,1855.5,0,0,0,0,0,0,0,2499.8,1661.5,28.946
AT2G29300.1;AT2G29320.1;AT2G29300.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6658.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G39020.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G48170.1,0,0,255.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15409,13592,0,0,0,0,0,0,0,1807.1,0,0,0,0,0,0,0
AT2G29340.2;AT2G29340.1;AT2G29340.3,0,0,33.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343.1,5260.9,1207.2,22535,17654,0,0,0,0,0,605.4,0,0,0,0,0,0,0,0,0
AT5G56260.1,0,0,0,0,0,329.28,0,0,0,0,0,0,0,0,892.41,0,0,0,0,0,25120,37819,13580,10517,1109.6,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G79690.1,0,0,34.867,0,2281.9,0,0,0,0,0,0,0,0,0,0,0,3859,0,726.1,768.2,8878.7,40911,28466,7832.6,11141,0,0,0,2170.1,0,0,0,0,476.87,0,0,12256,2112.5
AT4G24220.2;AT4G24220.1,0,116.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13423,44371,57033,20424,0,0,153.96,11565,0,7245.3,0,0,0,3583.7,0,0,0,0,0
AT3G02770.1,282.33,0,0,0,0,0,0,1820.8,0,0,0,0,0,0,0,0,0,0,0,0,19796,72592,45909,13913,0,0,0,0,0,0,0,0,0,4404.7,0,0,0,0
AT3G20330.1,0,0,263.29,684.82,0,1328.4,0,0,0,0,0,0,0,0,1353.7,1267.3,0,0,0,24524,34760,41634,19105,15926,11350,1914.5,8617.6,10253,6156.5,6290.1,0,0,672.31,1043.9,0,820.46,0,0
AT4G20960.1,766.12,0,0,0,0,0,0,1248.1,0,0,0,0,0,2667.5,0,0,0,646.23,0,0,29547,80358,41085,43134,1384.4,0,0,0,0,0,2059.2,0,0,0,0,0,0,0
AT5G54810.1;AT4G27070.1,0,0,0,15019,271.43,0,0,0,0,0,10479,1126.2,0,7178.7,0,0,0,0,0,18494,49136,57340,25931,5958.6,3609.5,2689.4,0,2246.7,1426.6,0,509.3,5173.6,6762.9,0,0,0,0,0
AT5G63890.1;AT5G63890.2,0,73.072,0,0,486.97,0,0,0,3655,2118.7,0,0,0,0,0,0,0,0,0,3405.2,17639,89091,66382,40828,18089,3691.7,0,0,0,0,0,0,0,0,2524.4,0,0,0
AT2G22990.6;AT2G22990.2;AT2G22990.4;AT2G22990.1;AT2G22990.3;AT2G22990.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35077,96146,141480,16625,162.18,0,0,0,0,0,0,0,50.532,0,0,0,0,270.77,0
AT4G35630.1,0,0,0,0,0,0,0,9341.5,0,0,0,0,0,0,0,0,0,0,599.72,0,20698,78324,76291,34332,45362,21562,5419,2466.4,0,0,0,0,0,0,0,0,23.101,0
AT5G03650.1,0,0,0,46.5,0,0,0,0,0,0,0,0,349.58,139.5,8159.5,7657.8,672.09,0,0,3041.9,28092,111170,59741,51600,9156.6,21765,2428.6,2005.1,0,0,0,0,0,0,0,0,0,0
AT2G44350.1;AT2G44350.2;AT3G60100.1,0,0,0,44.968,0,41.193,11477,0,0,0,0,0,1048.1,0,0,0,0,0,0,14981,106210,128860,87646,26148,5180,0,0,0,0,0,0,0,0,0,0,51.392,0,0
AT3G22200.1;AT3G22200.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.656,0,0,32713,135870,152550,60746,40225,0,0,0,0,0,0,0,0,0,0,0,64.24,0,0
AT2G27860.1,387.52,0,0,0,0,24.623,0,0,0,0,0,0,3750,0,0,0,24.623,0,856.35,0,142910,183820,143360,49418,769.64,272.39,3417.5,0,71.674,4259.3,0,2583.7,0,0,0,0,0,1391.4
AT1G70310.1,0,0,0,0,0,0,0,0,0,0,0,0,3757.3,0,0,4283.5,0,0,0,156650,150260,165280,53150,30583,0,0,0,0,0,0,0,0,0,0,5730.3,0,0,0
AT1G78300.1,141.49,0,0,0,527.78,0,663.04,1677,0,0,1955.8,8636.8,0,0,0,11788,0,1137.4,0,127620,170490,199390,76088,34663,0,9775.6,0,0,4072.6,0,0,3279.9,0,0,0,1978.5,1202.6,0
AT5G38480.1;AT5G38480.2,0,0,0,0,797.33,0,0,0,0,0,0,0,0,150990,2919.6,0,0,1075.2,1788.8,129780,263760,286760,124810,58906,0,4516.1,4074.2,0,2594.7,0,0,0,0,0,0,6939.6,0,0
AT1G63770.4;AT1G63770.3;AT1G63770.5;AT1G63770.2;AT1G63770.1,0,49.186,0,91.211,0,816.69,9836.2,2795,3509.2,0,8819,1146.7,4007.1,5252.3,955.08,0,0,0,1591.7,142690,790870,843170,587480,259290,11728,17548,0,8723.6,0,0,0,93.359,0,1500.4,0,0,68.489,0
