Protein IDs,Bio1_proteinGroups_F28,Bio1_proteinGroups_F29,Bio1_proteinGroups_F30,Bio1_proteinGroups_F31,Bio1_proteinGroups_F32,Bio1_proteinGroups_F33,Bio1_proteinGroups_F34,Bio1_proteinGroups_F35,Bio1_proteinGroups_F36,Bio1_proteinGroups_F37,Bio1_proteinGroups_F38,Bio1_proteinGroups_F39,Bio1_proteinGroups_F40,Bio1_proteinGroups_F41,Bio1_proteinGroups_F42,Bio1_proteinGroups_F43,Bio1_proteinGroups_F44,Bio1_proteinGroups_F45,Bio1_proteinGroups_F46,Bio1_proteinGroups_F47,Bio1_proteinGroups_F48,Bio1_proteinGroups_F49,Bio1_proteinGroups_F50,Bio1_proteinGroups_F51,Bio1_proteinGroups_F52,Bio1_proteinGroups_F53,Bio1_proteinGroups_F54,Bio1_proteinGroups_F55,Bio1_proteinGroups_F56,Bio1_proteinGroups_F57,Bio1_proteinGroups_F58,Bio1_proteinGroups_F59,Bio1_proteinGroups_F60,Bio1_proteinGroups_F61,Bio1_proteinGroups_F62,Bio1_proteinGroups_F63,Bio1_proteinGroups_F64,Bio1_proteinGroups_F65
AT2G29960.2;AT2G29960.1,0,0,0,0,0,0,0,0,0,2917.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984.2,0,0,0,0,0,0,0,0,2714,15534,34117
AT1G77710.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64581
AT5G45680.1,0,0,0,0,0,263.42,0,0,3814.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,0,0,0,17975,44230
AT5G03370.1,0,0,0,1742.9,0,0,0,0,0,0,0,0,23803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9051.5,39532
AT4G03280.2;AT4G03280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999.6,0,0,4312,0,0,0,0,0,0,0,0,0,6070.8,7511.1,11230,41832
AT1G17860.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.1,19379,80401
AT1G43560.1,230.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410.8,0,0,0,0,0,0,0,3712.6,0,0,613.11,0,2472.1,0,17074,31867,54005,116210
AT3G05350.1,0,0,319.96,17.893,0,32.757,0,0,0,0,0,0,0,0,0,38495,31791,0,0,30243,0,0,2243.9,483.29,0,0,0,0,0,0,0,0,0,0,0,2437,0,130020
AT1G29670.1,0,0,1646.6,0,0,43.868,0,0,0,0,0,0,0,0,0,0,0,378.66,0,0,8677.2,0,0,0,0,0,2242.7,10581,3570.1,0,0,234.26,0,1774.3,20640,20475,85720,134170
AT1G50320.1,742.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678.3,0,0,0,0,0,0,0,1317.2,1978.5,26760,91730,185680
AT2G16600.1;AT2G16600.2,167.02,0,0,22616,683.49,1093.7,2703.7,0,4227.4,0,4802.1,0,0,9051.4,0,0,329.78,893.23,0,4358.6,0,0,0,3338.3,0,0,2396,3724.9,0,0,0,0,6592.3,1811.1,67429,474630,1317600,2292500
AT5G54640.1;AT4G27230.2;AT4G27230.1;AT3G20670.1;AT1G51060.1;AT1G52740.1;AT1G54690.1;AT1G08880.1;AT5G59870.1;AT5G27670.1,0,313.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G25080.4;AT4G25080.5;AT4G25080.3;AT4G25080.2;AT4G25080.1,0,0,0,297.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G28740.1,0,0,0,3990.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G06580.1,0,0,0,4104.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G04260.1,0,0,0,5942.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G35260.1;AT4G35650.1;AT2G17130.2;AT2G17130.1,0,0,0,6226.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G22230.1;AT5G10160.1,0,0,0,6302.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G12250.1,0,0,0,7062.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G26910.3;AT4G26910.2;AT4G26910.1,0,0,0,4541,0,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G65010.1,0,0,0,5067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171.9,0,0
AT3G06810.1,0,0,0,5304,0,0,0,0,0,0,0,0,0,1962.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G10840.1;AT1G10840.2,0,0,0,5555.2,0,1839.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G29250.1,0,0,0,2898.9,0,2604.2,0,0,0,0,0,0,1169.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380.5,758.81,0,0,0,0
ATCG01300.1;ATCG00840.1,0,0,0,8823.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G28900.1,0,0,0,2587.6,0,0,2478.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492.1,0,0,0,1322,0,0,0,0,0,0,0,0
AT1G64790.1;AT1G64790.2,0,0,0,5119.9,0,3762.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53750.1;AT2G37620.2;AT2G37620.1,0,0,0,9350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29550.1,0,0,0,4181.3,0,1842.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G63680.1,0,0,0,7653.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3242.9,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G44320.1;AT4G20980.4;AT4G20980.3;AT4G20980.2;AT4G20980.1,0,0,0,5142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458.1,0,0,0,3601.4,0,0,0,0,0,0,1993.5,0,0,0,0,0
AT1G14410.1,0,0,0,5027.2,0,4091.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085.6,0,0,0,0,0,1380.6,0,0,0,0,0
AT1G08360.1;AT5G22440.2;AT5G22440.1,0,0,0,13073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G77940.1,0,0,0,8024.6,0,4515.6,1148.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G04120.1,0,0,0,14115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G14790.1;AT1G53500.1;AT1G78570.1,0,0,0,14964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52500.1,0,0,0,13713,0,0,0,0,0,0,0,0,0,0,0,0,1690.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G18190.1,0,0,0,8007.9,0,4835.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2744.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G60245.1;AT3G10950.1,0,0,0,16361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G51890.1,0,0,0,16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370.5,0,0,0,0,0,0,0,0,0,0,0
AT3G06730.1,0,0,0,18613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMG01190.1;AT2G07698.1,0,0,0,18786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G72150.1,0,0,0,8796.2,0,6124.2,189.51,0,0,0,0,0,0,0,0,0,1861.8,587.8,0,0,0,0,0,0,0,0,0,0,1732.3,0,0,0,0,0,0,0,0,0
AT4G18810.1;AT4G18810.2,178.21,0,0,0,0,122.89,0,0,0,0,0,1553.3,0,2344,0,0,0,0,0,0,0,0,67153,129250,165850,110460,43021,25670,0,0,0,0,0,0,0,0,1483.3,1093.9
AT4G13430.1,0,0,87.099,17549,0,1425.2,6160.2,0,11211,0,0,10322,3433.9,1906.5,0,0,78.698,1190.1,1361.6,3336.3,4324.3,25629,40426,69227,210480,124710,33734,68436,27665,26355,1344.8,28.089,344.8,0,2845.9,1791.3,1255.3,0
AT4G16155.1;AT3G16950.1;AT3G16950.2,0,0,0,171070,0,9164.2,0,0,0,0,0,0,0,0,0,0,1500,0,1476.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G04920.1,0,0,0,138470,2445.7,14345,22835,5425.9,0,0,0,0,2715.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G35680.1,0,0,0,138600,1748.8,32406,14841,0,0,0,0,0,0,0,0,0,1705.6,0,1097.2,0,0,0,0,0,0,0,0,0,0,0,0,1016.3,0,0,0,0,0,0
AT2G41840.1;AT3G57490.1,0,0,278.2,520390,8324,206650,13301,0,0,0,360.97,0,0,0,2527.9,0,0,0,0,0,0,0,2185.1,2162.1,0,2689.4,0,0,1510.7,2530.6,0,0,0,0,4936.8,0,0,0
ATCG00380.1,0,0,6265.8,537240,10615,115730,11875,0,25099,24160,0,11246,1453.2,0,2614.4,0,0,1425.4,0,0,0,2316.2,0,1534.7,0,0,0,3931.7,0,1811.9,0,15641,0,5503.2,4828.8,0,7818.6,4892.2
ATCG00120.1,0,36.988,0,214290,318.67,45655,6490.1,8092.1,15591,41877,65352,209020,120170,37198,22122,17381,2506.9,0,0,0,5744.8,0,0,0,5362.2,8102.8,0,0,6580,0,0,10116,0,21978,5232.5,0,4055.5,2023.3
AT5G07090.2;AT2G17360.1;AT5G07090.1;AT5G58420.1;AT2G17360.2,0,71.748,644.93,777720,13836,265310,101490,0,1463.3,1832.9,0,0,4082.6,3436.7,0,0,1649.3,0,0,4041.6,5418.4,0,5073.7,0,2121.8,0,0,4579,0,0,0,2596.4,2363,0,0,0,0,1449.5
AT5G20290.1;AT5G59240.1,0,47.708,3481.5,757670,16249,320380,158560,16060,5139.7,3590.3,3711.7,0,0,1121.4,0,2283.9,5083.3,1251.2,0,0,0,2289.4,0,0,2778.8,0,416.51,10675,1436,2207.9,0,5371.7,2989.8,0,2010.4,0,0,2668.9
AT3G11130.1,101.44,54.835,820.68,1665100,14398,272280,15090,13266,0,1361.6,3180.9,14847,3148.7,0,3726.9,5213.2,5406.6,6739.4,5205.5,1366.4,19884,0,7266.4,3796.5,0,0,0,0,499.34,7782.9,1121.4,10124,0,791.27,7274.4,30291,2347.7,0
AT3G27850.1;AT3G27830.1,0,91.453,8602,365120,13643,202820,178630,75282,59244,44526,27594,102330,114650,99179,22252,20564,5051,1191.1,772.07,6164.8,0,7317.8,0,0,0,35625,116140,280620,347320,236660,25473,72588,1809,3644.8,1260,0,6171.8,6352
AT3G14210.1,61296,2166.3,330960,3490600,35959,343370,52259,5864,4716.5,0,13413,3058.3,90658,0,6437.7,5077.8,10106,1353.5,0,20863,0,3139.5,0,3186.7,0,19605,10951,42922,34070,17438,2033.2,2046.2,3710.7,0,16215,2421.1,0,0
AT2G39730.1,5149.2,2785.3,59750,3295300,51333,1441000,1161000,319070,69065,30092,41825,48168,119600,173960,154200,128890,26323,1483.5,2356.7,110300,40660,91891,67920,129630,139210,225130,151650,264110,366050,229550,6826.9,295400,395790,288800,110290,66970,38498,24324
AT2G38230.1;AT2G38210.1,0,0,32.451,0,273.26,64.903,22759,59693,52278,28795,43952,27375,16373,965.56,0,468.53,0,804.8,0,0,0,0,3323.5,129.15,0,0,0,2548.1,0,0,0,3503.9,317.75,1622.9,0,1091.8,0,0
AT3G54440.1;AT3G54440.3;AT3G54440.2,0,0,0,0,0,0,0,1731.4,0,0,0,0,10387,102090,124520,17775,0,0,0,9986.1,0,0,0,0,0,6585.9,4823.2,2819.8,3417,0,0,0,2216.9,0,0,0,0,0
AT3G23810.1,0,0,0,310.1,0,92.434,0,0,0,0,0,0,0,53764,146140,90941,12945,0,0,0,0,47.708,0,0,0,0,676.04,0,0,0,0,89.452,0,0,0,29.817,0,0
AT4G18440.1,0,0,0,31.647,0,0,2348.9,0,0,0,0,154.84,8627.6,80212,177890,78486,14272,0,0,0,0,0,0,0,0,0,3313.9,0,5024.1,0,0,0,797.09,0,0,0,3790.4,0
AT3G13580.3;AT3G13580.2;AT3G13580.1,0,0,0,19528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G09795.1,0,0,0,17091,0,0,0,0,0,0,0,0,0,1591.6,0,0,0,0,1248.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G02760.1,0,0,0,15801,0,4720.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G59540.1;AT2G43460.1,0,0,0,20858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G46430.2;AT5G46430.1,0,0,0,21264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G54220.2;AT1G54220.1,0,0,0,21307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCG00180.1,0,0,0,15098,0,7022.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G11400.1;AT3G11400.2,0,0,0,9806.5,0,0,0,0,0,0,0,0,0,0,2036,0,0,0,723.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880.9,0,6310.9
AT1G50010.1;AT1G04820.1,0,0,502.79,24055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G48350.1,96.176,40.26,0,6120.4,0,0,5832.5,3176.3,0,0,0,0,0,0,0,0,3727.1,0,0,2133.3,5017.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G79280.1;AT1G79280.3;AT1G79280.2,0,0,0,23291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421.2,0,1263.2,0,1809.2,0,0,0,0,0,0,0,0
AT3G17820.1,0,0,0,22059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7065.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G79850.1,0,0,385.18,28958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G17990.1,0,0,0,15570,0,4937.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559.7,0,0,3374.9,1757.7,0,1091.4,0,1132.1,0,0,0,0,0,0,0,0,0
AT1G80070.1,0,0,0,23851,0,4087.2,0,0,0,0,0,0,0,0,2173.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G41880.1,0,0,0,29853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.57,0,0,0,0,0,0,0
AT5G25757.1;AT5G25754.1,0,0,0,10912,0,5005.1,2128.4,0,0,0,0,0,1485.1,0,0,0,0,0,0,0,0,5996.7,0,0,0,0,0,3166.7,2032.7,0,0,0,0,0,0,0,0,0
AT5G47700.2;AT5G47700.1,0,0,0,31327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G34620.1,0,0,0,28925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513.7,0,0,0,0,0,0
AT5G26360.1,0,36.167,0,12512,0,11610,11263,0,0,0,0,0,0,1434.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G16720.1,0,0,0,23390,0,0,0,0,0,0,0,0,0,0,0,3030.6,4750.5,0,0,0,3920.2,0,1474.6,0,958.79,0,0,0,0,0,0,54.658,0,0,0,0,0,0
AT4G19210.1,0,0,0,26875,0,4402.4,0,0,0,2245.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4132,0,0,0
AT5G13650.1;AT5G13650.2,0,0,0,16590,0,8005.1,799.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6811.7,4246,0,0,0,0,0,1515.4,0,0,0,0,0,0,0,0,0
AT4G22485.1,0,0,0,34078,0,4103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G20580.1;AT1G76300.1,0,0,0,18577,0,15151,5793.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCG00740.1,0,0,0,21175,0,20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G01310.1,0,0,0,23572,0,5029.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5791.2,5671.9,0,0,0,0,0,0,0,0,1984.9,0,0,0,0,0,0,0,0
AT2G39990.1,0,0,0,28408,0,10565,0,1951.5,0,0,0,0,0,0,0,0,0,0,809.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814.5
AT4G36130.1,0,0,0,37587,0,5272.6,0,0,0,0,0,0,0,0,0,0,0,572.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1946.8,0,0,0,0,0,0
AT2G33450.1,0,0,0,40850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4628.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G09990.1,0,0,0,22610,0,13459,9492.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G34590.1;AT1G30120.1,0,0,0,30622,0,0,0,0,0,0,0,0,0,0,0,0,6783.6,0,0,0,5801.7,0,0,0,0,0,3074.7,0,0,0,0,0,0,0,0,0,0,0
AT5G49360.1,0,0,0,28663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7419.9,0,0,0,0,7693.6,0,0,0,5017.2,0
ATCG00170.1,0,0,0,42146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2770.7,0,0,0,0,0,0,0,0,0,0,0,0,5434.2,0,0,0,0,0
AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3,0,0,0,48550,0,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G05560.3;AT3G05560.2;AT3G05560.1,0,0,0,32984,390.23,13444,7541.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G46280.2;AT2G46280.1;AT2G46280.3;AT2G46290.1,0,0,0,23959,0,15435,3853.7,0,0,0,0,0,0,1592.5,0,0,0,0,0,0,0,0,0,0,0,0,2552.6,4829.9,0,0,0,0,3023.5,0,0,0,0,0
AT5G41790.1,0,0,0,36253,0,0,0,0,0,0,0,0,0,0,5188.8,0,0,0,0,10075,0,0,0,3840.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G56630.1;AT4G26270.1;AT4G32840.1,0,0,0,20762,325.8,14656,0,0,0,0,0,0,0,0,0,0,0,0,0,16066,0,0,0,0,2291.9,0,0,0,0,0,0,0,0,0,0,0,0,2291.9
AT5G56670.1;AT4G29390.1;AT2G19750.1,0,0,0,46448,1889.3,8211.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G58290.1,350.2,64.805,0,35375,916.14,13348,4610.2,0,1307.5,0,0,0,0,0,0,0,0,0,301.63,0,0,0,0,0,0,0,0,0,0,322.22,0,369.13,0,0,0,0,0,0
AT3G52200.1;AT3G52200.2,0,0,0,48504,0,0,0,0,0,0,0,8866.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G69620.1;AT1G26880.1;AT1G26880.2,0,0,0,31052,1495.4,15197,8546.2,0,0,0,0,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G65220.1,0,0,0,50884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367.4,0,0,0,0,0,0,0,0,0,0,0,2238.4,0
AT3G13120.2;AT3G13120.1,0,0,0,18048,0,16274,12317,0,4042.6,0,0,6238.8,0,0,0,0,0,0,0,0,2253.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G11830.2;AT3G11830.1,0,0,0,31059,0,24958,1636.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.6,0,0,0,0,0,0,0,0,0,0
AT5G35590.1,0,0,0,0,0,296380,238550,35078,0,0,0,0,0,4625.6,0,0,2118.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.5,0,0,0,1165.2,2686.8,0
AT2G21390.1,0,0,0,15727,0,330560,216870,14027,0,5097.8,1861.7,0,1376.7,60.762,3313.5,0,0,0,0,0,0,4567.6,4942,6977.1,0,3062.8,0,0,0,15753,0,0,0,1078.4,0,0,0,0
AT2G27020.1,3119.1,63.669,0,0,986.87,316040,315920,41247,0,0,0,2400.7,1585.9,0,15021,0,2010.7,3742,0,0,274.19,0,0,2795,5303.9,0,0,451.53,0,0,0,2973.1,0,0,2993.3,0,1678.8,0
AT3G60820.3;AT3G60820.1;AT3G60820.2,235.02,80.163,0,1472.1,616.41,351690,343870,43617,5178.9,0,0,0,1505.6,8862.2,0,3199.6,0,0,1071.8,0,3577,9959.2,3124.8,11628,0,0,7573.9,3498.8,1140.1,0,418.6,0,0,0,40.508,0,2897.7,0
AT3G14290.1,0,0,0,0,889.72,380800,379760,34688,5240.9,0,0,0,0,2830.2,0,137.91,5259.2,3468.7,1052.9,0,0,51.222,3306.2,0,1331.6,4742.5,0,0,0,4167.1,0,243.19,0,0,0,0,1363.1,0
AT4G31300.3;AT4G31300.1;AT4G31300.2,0,81.118,2163.3,2998.5,0,340750,280440,61547,75275,3692.8,12021,5027.7,27132,3189.6,0,0,4826.8,0,0,0,4146.4,0,0,3718.7,0,5472.3,0,4881,0,0,0,0,4496.5,0,9968.8,0,5557.4,0
AT4G20850.1,0,42.552,0,216410,3863.9,517520,343130,46919,0,0,1509,0,11644,4305.2,4823,0,0,1063.7,574.28,9201.2,7410.6,74270,10996,0,3799.9,20555,0,5596.6,6320.3,158.96,901.13,1256,1699.9,0,10281,2043.2,2131.6,0
AT3G14930.3;AT3G14930.2;AT3G14930.1,51.41,0,0,0,0,0,0,383.13,0,0,0,0,0,5125.9,0,0,0,0,0,6666.2,78280,174350,175390,87435,19690,373.33,0,0,0,2930.7,0,2020.7,0,0,146.88,0,0,0
AT3G52380.1,0,0,0,0,0,0,0,0,5785.7,0,0,0,0,0,3361.2,0,0,0,2475.5,0,49415,110040,224330,101540,78742,28825,1223.5,0,0,0,0,0,0,2323.8,4126.7,0,0,0
AT3G03780.3;AT3G03780.2;AT3G03780.1,0,53.19,0,33.01,0,0,23.355,10488,0,0,0,0,0,0,0,0,1661.9,0,927.04,0,47211,115950,333270,143060,31379,12913,0,10046,0,0,0,0,0,0,0,1932.7,0,0
AT2G40490.1,0,0,0,13956,0,0,0,1954.8,0,0,0,0,0,0,0,4275.2,0,0,0,0,111820,122460,223080,135740,104390,53117,4111.3,43026,20834,67366,0,13002,0,0,3468.3,0,0,6892.8
AT3G57610.1,172.1,0,0,0,0,0,0,0,2239.7,0,0,0,0,0,0,0,0,0,741.63,54356,224560,232830,340730,61577,7138.8,0,0,9716.1,0,0,0,1317.1,0,0,3930.6,1193.4,693.14,0
AT4G02450.2;AT4G02450.1,0,0,0,0,522.9,0,594.4,0,0,0,2678.1,0,0,0,0,0,0,0,0,0,0,20928,97509,209300,257250,126070,17441,0,7590.5,0,0,20387,8650.9,1181.1,0,0,0,0
AT1G13930.3;AT1G13930.2;AT1G13930.1,281.17,22.914,32.365,0,0,42.998,27.741,1197.1,0,1665.3,0,27.741,0,342.09,0,0,3299.8,0,0,50.935,0,0,28127,33391,326210,291840,209550,164830,71549,21131,6858.8,29504,6712.9,4219.8,371.04,172.28,0,2232
AT1G70810.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12660,5929.6,0,0,0
AT3G03990.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704.7,240.5,0,0,12157,1523.5,16285,451.12,0,0,0
AT2G30410.2;AT2G30410.1,195.53,0,239.01,0,0,0,0,0,0,0,0,0,0,0,2078.5,636.8,0,634.06,0,0,0,650.85,0,0,0,0,0,0,0,0,0,3620.8,11657,19256,3490.4,0,0,0
AT4G21860.3;AT4G21860.1;AT4G21860.2;AT4G21850.2;AT4G21850.1;AT4G04800.1,0,0,1667.9,2662.8,0,0,23.865,0,10707,7571.8,1164,4142.5,0,0,0,0,5612.4,0,0,0,0,2776.2,0,0,0,0,0,0,0,0,0,2764.9,4818.5,0,10291,80160,225100,239290
