Protein IDs,Bio2_proteinGroups_F28,Bio2_proteinGroups_F29,Bio2_proteinGroups_F30,Bio2_proteinGroups_F31,Bio2_proteinGroups_F32,Bio2_proteinGroups_F33,Bio2_proteinGroups_F34,Bio2_proteinGroups_F35,Bio2_proteinGroups_F36,Bio2_proteinGroups_F37,Bio2_proteinGroups_F38,Bio2_proteinGroups_F39,Bio2_proteinGroups_F40,Bio2_proteinGroups_F41,Bio2_proteinGroups_F42,Bio2_proteinGroups_F43,Bio2_proteinGroups_F44,Bio2_proteinGroups_F45,Bio2_proteinGroups_F46,Bio2_proteinGroups_F47,Bio2_proteinGroups_F48,Bio2_proteinGroups_F49,Bio2_proteinGroups_F50,Bio2_proteinGroups_F51,Bio2_proteinGroups_F52,Bio2_proteinGroups_F53,Bio2_proteinGroups_F54,Bio2_proteinGroups_F55,Bio2_proteinGroups_F56,Bio2_proteinGroups_F57,Bio2_proteinGroups_F58,Bio2_proteinGroups_F59,Bio2_proteinGroups_F60,Bio2_proteinGroups_F61,Bio2_proteinGroups_F62,Bio2_proteinGroups_F63,Bio2_proteinGroups_F64,Bio2_proteinGroups_F65
AT1G02930.2;AT1G02930.1,67.6,0,7147.7,0,0,0,0,11277,0,0,0,0,0,0,0,0,2091.9,0,0,0,50.119,0,0,0,0,2114.4,4060.6,9211.3,3986.4,24004,73257,123510,55942,31565,1028.2,0,0,0
AT1G03090.2;AT1G03090.1,0,0,0,0,0,0,1555,2863.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03110.1,0,0,0,0,0,0,0,0,0,0,32.365,0,0,0,0,0,0,0,0,0,0,757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03220.1;AT1G03230.1,0,0,0,0,31.884,0,0,0,0,0,0,0,0,0,0,0,0,109.58,0,0,0,0,0,0,5409.9,0,29840,36274,46248,37085,17582,0,0,0,303.67,0,0,0
AT1G03475.1;AT4G03205.1;AT4G03205.2,0,0,2171.6,290,50.935,734.82,85.717,986.58,18.494,0,1792.4,32.365,18.494,0,0,19.585,0,82.66,0,30362,4947.7,471550,322950,263610,96965,9477.6,15545,2364.9,4024.7,3722,5961.1,1210.4,1239.1,110970,0,2145.8,0,1616.6
AT1G03600.1,0,0,2804.1,19.092,19.092,0,0,0,1344.9,0,0,0,0,0,516.03,1399.4,0,1687.4,0,0,23.865,57.276,0,0,0,0,0,1311.3,0,0,0,0,0,0,3588,20761,131700,126730
AT1G03680.1,0,36.167,0,0,481.33,27.126,0,22.605,27.126,27.126,4736,139.55,0,10214,334.18,0,7638,0,5083.2,2252.4,0,2632,38.766,0,4964.5,3342.7,0,0,7095.9,0,931.56,27431,39.857,838.29,9993.9,291610,625030,359620
AT1G04410.1;AT5G56720.1,656.61,0,66974,1803.7,34.159,0,0,2428.4,1213.4,75.162,1484.8,52.388,36.167,5375.6,0,0,1090.4,0,0,0,54.387,67435,151870,777940,441760,418590,74943,50127,0,6953.3,6354.1,95.644,7822.2,4649.1,7247,0,0,1129.1
AT1G04420.1,0,370.49,3497.1,678.27,0,305.38,5610.2,39302,298.94,1528.3,0,2623.9,0,5775.2,192.91,48.455,9188.7,743.68,3771.3,0,42.038,87777,243170,380060,157320,40424,40672,0,0,3003.4,6188.7,0,3701,6198.2,0,0,4614.8,271.78
AT1G05010.1,0,0,0,0,0,0,0,0,0,0,0,0,38.544,0,0,0,0,0,0,0,0,0,0,0,0,3021,37646,33518,77536,53475,5150.8,5071.4,0,1970.4,2916.9,0,0,0
AT1G05190.1,0,0,667580,7907.5,1705.3,236.62,16746,0,0,0,0,1934.3,0,0,236.7,3114.8,0,1418,0,0,432.46,0,0,0,0,0,8091.6,0,0,0,0,0,1964,0,0,0,0,4091.3
AT1G05560.1,0,0,0,0,0,0,0,0,0,2332.7,0,0,0,0,0,0,0,0,0,0,0,0,4223.7,8470.8,38044,57959,22372,3191.8,0,0,0,0,0,0,0,0,33.291,742.11
AT1G06000.1,0,0,18.684,0,18.684,0,28.993,644930,3283.5,0,711850,50.214,0,0,28.025,37.367,0,0,0,0,0,0,0,0,0,4748,11836,0,5208.8,0,0,0,0,0,0,0,0,0
AT1G06130.2;AT1G06130.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123.5,0,0,0,0,4498,13149,26788,0,4111.1,0,0,0,0,0
AT1G06290.1;AT1G06310.1,0,0,0,113.81,0,0,0,0,0,19.092,0,0,0,0,0,0,0,350.28,2234.9,6587.6,0,10317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G06410.1;AT1G68020.1;AT1G68020.2,0,0,0,0,0,0,0,0,0,0,0,2266.2,0,9602.8,129.75,860.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056.6,0,0,0,0,0,0,0
AT1G06680.2;AT1G06680.1,1093.7,1516.5,27975,691.33,60.068,0,2039.3,3286,1677,166.78,853.14,1348.1,131.46,9499.7,837.59,1593.5,9451.1,1052.9,5436.9,7260,0,26635,8069.3,18893,6526.1,11459,15055,28832,12477,20330,114490,359760,796370,936430,792450,355470,102170,48710
AT1G07080.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606.7,1169.9,0,0,0,0,6907.9,4004.9,0,0,0,0,3431.1,0
AT1G07110.1,0,0,0,0,0,0,0,0,0,0,33.411,0,0,379.45,23.865,0,0,0,0,0,0,0,0,0,1232.2,0,0,0,749.39,819.76,525.03,0,0,352.45,0,829.3,0,0
AT1G07140.1,0,0,0,0,0,0,0,0,0,0,0,0,0,12417,0,711.15,1877,0,0,0,1374.9,73010,38743,102880,32274,0,7417.1,8223.3,0,1601.8,1521.6,3500.1,6032.3,0,3737.6,0,0,0
AT1G07250.1,0,0,0,0,0,537.47,0,0,0,0,131.51,0,83.802,0,0,0,0,0,0,0,0,0,8007.2,0,4610.6,23711,25673,6643.2,8145.1,0,0,0,0,2034.5,0,0,0,0
AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1,0,0,71287,8750.6,704.43,0,0,0,930.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225.6,0,0,0,0,0,0,0,1794.9,0,0,0
AT1G07370.1;AT2G29570.1,0,0,0,185.07,0,0,0,0,0,0,0,0,0,0,159.33,0,0,0,6816.5,5666.8,0,0,0,0,0,0,8336.3,4140,0,0,0,0,0,0,0,0,0,0
AT1G07440.1;AT1G07440.2;AT2G29330.1;AT1G07450.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,0,2851.2,2951.1,0,0,0,0,0,0,0,0,0,1263.7,0,0,0,0,0
AT1G07700.2;AT1G07700.1;AT1G07700.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.04,0,0,0,0,0,0,0,0,0,0,2200.8,9806.6,3489.6,2591.2,0,0,0,0,0
AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1;AT1G07890.6,0,0,16055,781.65,56.178,185.21,59.403,0,1949,75.723,1177,0,0,1484.8,0,115.4,1193.4,1301.3,237.86,8437.9,0,3260.7,6662.8,164960,200470,909240,495680,984740,543580,671560,426170,149090,29021,29088,6788.4,13111,6808,72.671
AT1G08110.3;AT1G08110.2;AT1G08110.1;AT1G08110.4,77.072,0,0,0,0,398.89,37.726,0,78.652,0,11880,0,0,0,0,0,0,903.66,0,672,247.58,0,0,0,8233.5,14674,20457,48843,48701,45305,27404,0,2820.8,0,0,13679,1608.6,0
AT1G08200.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2631,28.642,0,0,0,0,3244.2,0,6227.7,6103.7,7206.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G08360.1;AT5G22440.2;AT5G22440.1,389.42,0,56921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G08450.2;AT1G08450.3;AT1G08450.1,0,0,12042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4156.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G08490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.07,0,3823.3,0,1916.3,1679,3356.3,0,0,0,0,0,632.42,0,0,290.4,0,0,0,0,0
AT1G08520.1,0,0,57413,0,0,0,0,2588.9,0,0,0,1045.5,0,23115,0,0,0,0,0,0,0,5030.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G08550.2;AT1G08550.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.084,0,0,0,0,0,2829,4747.8,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G08980.1,0,0,0,0,0,0,0,0,24.143,0,0,0,321.8,0,0,0,0,1076.9,0,0,0,6136.6,1487.4,4272,0,9904.4,0,82403,90663,105390,49621,2799.1,0,0,0,1761.9,1293.7,0
AT1G09010.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.93,0,293.8,0,0,99.205,3556.9,16243,16134,18987,0,0,0,0,0,0,0,0,0,1530.3,0,0,0
AT1G09130.2;AT1G09130.1;AT1G09130.3,362.97,0,26681,0,0,0,1815.9,0,0,0,0,1814.1,0,4593.5,0,5554.2,15001,8349.5,7404.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348.7,0,2688.6
AT1G09155.1,0,0,0,0,476.31,0,0,0,0,0,338.46,0,0,0,0,0,15260,6913,63238,15037,942.36,0,0,0,0,0,0,0,0,5009.5,4015,0,0,0,0,0,0,1629.1
AT1G09210.1,0,0,0,0,0,0,46954,0,0,0,0,0,0,0,0,0,0,4635.3,0,17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8194.8,0,0
AT1G09310.1,35.786,0,0,0,0,26.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.2,0,0,0,2601.1,27630,11398,1037.1,0,9695,7197.7,8590.5,6460.1
AT1G09340.1,176420,375880,11262000,139070,50543,18873,1908000,797490,253490,71711,298880,343520,22197,1457400,33190,348370,887160,541260,803220,425300,34732,391760,172950,62936,30983,48505,8604,13925,11956,12866,21296,16625,10205,6923.6,16491,32537,23305,17254
AT1G09430.1,0,0,1719.2,0,0,0,2534,1425.2,0,0,0,0,0,9065.8,0,0,14701,0,0,0,0,2831.5,0,11900,27959,56708,28337,35463,0,13144,1579,0,1294.6,0,0,0,4449.1,0
AT1G09490.2;AT1G09490.1,19.585,0,0,206.58,0,0,14.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.98,0,0,5152,0,9384.8,0,46838,0,6427.2,3122.6,1691.3,0,0,0,0
AT1G09500.2;AT1G09500.1;AT1G09500.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936.5,0,0,0,0,0,0,0,0
AT1G09620.1,0,0,5151,0,0,190.83,0,0,0,0,0,1501.3,0,12054,0,0,28015,34.273,0,0,0,2112.7,1421.7,0,0,0,0,934.2,0,0,0,0,0,0,0,0,0,0
AT1G09640.1;AT1G09640.2,287.91,0,0,0,0,449.42,265840,98100,9739.2,0,0,6075.6,0,1764.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G09750.1,0,726.06,0,814.36,191.56,291.28,52.155,7894.9,0,0,0,90.943,53.671,18117,0,892.34,16239,0,0,0,135.4,4085.3,0,33050,141010,222080,109560,247920,81562,60552,14009,1500.9,1677.2,0,0,2093.3,0,0
AT1G09780.1,0,0,0,185.85,205.24,0,537.48,1517.7,21.934,0,0,2812.4,97.466,6740.5,0,0,691.6,26.302,0,0,0,9757.9,22497,96806,93195,215730,39673,12315,0,2747.5,2801.5,2079.8,1890.3,0,499,0,0,0
AT1G09795.1,0,0,6156.2,0,0,0,5795.9,0,0,0,0,0,0,0,188.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G09830.1,0,0,0,0,0,0,27.741,0,0,0,0,0,23.118,2251.4,0,0,0,0,0,0,0,0,2559.2,27115,24916,51410,9023,3181,0,0,0,0,0,1466.6,1524.3,0,0,0
AT1G10360.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10831,0,4973.1,0,1818.8,0,0,0,0,0,0,0,0
AT1G10370.1,0,0,0,0,50.103,0,60.178,0,0,0,0,0,36.438,0,27.329,0,0,130.97,0,27.329,54.658,0,3607.8,0,18423,28750,13515,29077,9972.8,10116,6941.3,4573.3,0,0,0,0,0,0
AT1G10700.1,0,0,11640,0,0,187.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G10760.1;AT4G24450.1,0,328.14,0,587.42,0,328.29,0,0,0,0,0,0,0,6332.1,73.441,9944.1,54495,49106,91912,23531,0,1519.7,3369.8,352.43,0,0,10188,0,0,0,0,0,11470,7550.1,6212.1,0,0,2454.9
AT1G10840.1;AT1G10840.2,298.72,0,53479,0,0,180.05,0,0,0,0,0,0,0,2251.4,0,0,0,0,0,0,0,5489.7,0,0,0,0,0,0,2863.9,0,0,0,1788.2,0,0,0,0,0
AT1G10960.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51600,0,0
AT1G11430.1,0,0,0,0,0,0,1844.2,0,0,7825.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27058,44888,53331,51649,32778,0,0
AT1G11580.1,32.696,0,0,0,0,0,37.233,0,0,0,0,23.355,23.355,0,0,0,0,0,0,0,37.367,0,0,130.32,0,0,0,0,0,1792.1,0,42.552,349.75,1722.9,919.41,1031.9,21432,5036.1
AT1G11650.1;AT1G11650.2,0,0,0,0,0,0,1728.8,0,0,0,0,0,0,0,0,0,0,0,2199.9,0,0,0,0,0,4304.6,1561.1,0,0,0,6483.5,0,6941.6,6309.1,0,12212,8713.2,0,0
AT1G11750.1;AT1G11750.2,0,0,15330,0,0,0,0,0,0,0,0,0,0,23091,1518.2,16498,16088,0,0,0,0,0,0,0,1282.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G11840.4;AT1G11840.3;AT1G11840.2;AT1G11840.1;AT1G11840.6;AT1G11840.5,0,0,0,22.605,18.494,0,41.612,0,3215.3,32.365,809.29,2466.4,1198.8,0,50.815,50.935,0,141.78,0,512.7,32.365,9657,4303.3,0,949.4,940.9,13725,6749.2,34578,188380,362230,385800,147790,20163,15666,0,1920.2,0
AT1G11860.3;AT1G11860.2;AT1G11860.1,0,1318.5,4146.5,89.749,241.11,73.099,35.572,59.646,27.741,4971.1,23.118,0,614.83,2217.9,74.814,50.404,155.65,2418.6,689.58,327.14,45.523,9016.6,16279,1357.1,15968,70474,326810,1047300,1164700,1107400,786730,58309,26657,20692,2126.6,93.027,23011,1427.6
AT1G11870.1;AT1G11870.2;AT1G11870.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19688,0,1412,0,3364.6,0,0,0,0,553.29,0,0,0,0,0,0,0,0,0,0
AT1G11910.1;AT1G62290.2;AT1G62290.1,0,0,280930,0,0,0,3474.2,3585.2,0,0,0,2511.7,0,0,257.05,0,0,0,0,34.943,0,0,0,0,0,3814.5,0,0,0,0,0,0,0,0,0,6861,6334.9,0
AT1G11930.2;AT1G11930.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621.8,5086,0,0,0,0,0,7918.3,7557.6,29179,0,7855.2,0,0,0,0,0
AT1G12050.1,0,0,0,0,0,0,22.194,0,0,0,0,0,0,0,0,0,0,0,0,2231.8,0,27846,27534,32548,11406,0,0,0,0,0,0,0,0,0,3520.5,0,0,0
AT1G12140.2;AT1G12140.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308.7,0,0,0,0,0,0,0,0,0,0,0
AT1G12230.1;AT1G12230.2,0,0,0,0,0,0,28.025,0,0,0,0,0,0,0,0,0,31.563,0,0,0,62.768,0,0,0,0,4008.7,0,3535.3,483.96,5601.1,0,3497.8,0,0,0,0,0,0
AT1G12240.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.1,0,0,0,2443.2,40548,26000,12711,0,0,0,0,0,0,6977.2,2815.1,0,0,1261.1
AT1G12270.1,0,0,0,0,0,0,85.077,0,0,0,177.78,1820.4,0,0,0,3370.9,0,1034.3,0,0,0,0,0,0,0,0,4531.7,0,0,0,0,0,0,0,0,0,0,560.86
AT1G12310.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3419.4,6868.2,0,0,0,0,0,0,0,0,0,0,7068,15211,0,0,0
AT1G12410.1,0,0,0,363.93,0,0,0,0,0,0,0,0,0,0,150.63,2990.8,28242,3700.8,7351.8,0,0,4853.5,0,0,0,0,0,0,0,0,0,0,0,2157,0,0,0,0
AT1G12780.1;AT1G63180.1,0,0,0,0,0,0,0,0,0,0,0,168.83,0,0,0,0,703.95,0,0,0,0,0,0,3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G12840.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201.9,0,0,0,0,0,0,0,0,0,0,0
AT1G12900.2,6122.2,14411,2372900,14208,2357.7,1126,919440,338510,72935,0,20622,18696,0,28344,0,670.19,0,0,31339,0,191,46632,25663,105130,102320,121300,114470,114340,54017,99630,92327,8864.1,30268,17670,16184,0,0,1323
AT1G12900.4;AT1G12900.3;AT1G12900.1,6122.2,14411,2372900,14208,2357.7,1126,919440,338510,72935,0,20622,18696,0,28344,0,670.19,0,0,31339,0,191,46632,25663,105130,102320,121300,114470,114340,54017,99630,92327,8864.1,30268,17670,16184,0,0,1323
AT1G13060.1;AT1G13060.2,0,0,0,0,0,0,20662,8578,0,0,0,0,0,0,0,0,0,0,3032.1,0,0,0,0,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0
AT1G13270.1;AT1G13270.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537.6,0,0,0,0,0,0,7780.8,17381,0,0,0,0,0,0,0
AT1G13440.1;AT1G13440.2,9421.5,29311,3476300,44504,6378.7,2737.9,383750,53528,31503,1979.7,9115.4,38025,1579.1,18359,286.65,3405.2,2214.4,8444.5,5250.7,11530,171.72,9118.1,1424.1,3203.1,4792.8,1095.6,15380,20916,34202,52609,44588,5943.8,14970,18753,20078,40529,4969.4,9674
AT1G13930.3;AT1G13930.2;AT1G13930.1,27.741,500.33,83.223,27.741,0,0,0,313.8,33.025,0,23.118,55.569,0,4323.4,0,0,0,0,2145.9,23.118,0,5260.9,3360.6,48277,106990,112310,65976,56817,26730,26354,18225,15194,8073.4,41.281,0,3512.7,0,0
AT1G14310.1,0,0,0,0,0,0,0,0,82.218,0,0,0,0,0,31.2,0,0,0,0,0,0,0,0,18033,0,0,0,3154.6,4229.9,0,12355,12175,7727.3,0,0,0,0,0
AT1G14320.1;AT1G14320.2;AT1G26910.1,0,0,2744.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951.5,0,0,0,0,0,0,0,0,0,0,1170.2,915.79,0,0
AT1G14400.2;AT1G14400.1,0,0,0,21.042,0,0,0,0,26.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760.3,0,6155.1,5114.9,0
AT1G14410.1,0,693.4,45028,0,0,0,0,0,1068.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647.4,0,0,0,0,0,0,0,0
AT1G14610.1,0,0,52539,0,0,0,0,4536.2,0,0,0,0,0,0,216.93,781.38,0,0,3299.7,0,0,0,0,0,0,0,0,0,0,5051,0,0,0,0,0,0,0,0
AT1G14810.1,735.23,0,139750,798.86,0,0,12641,1951.5,0,2398.4,3264.1,4133.8,0,7850.4,0,19.929,0,4582.4,0,6992.7,243.48,2135.8,2059.3,3993.8,2623.5,807.13,13830,1063.9,32748,32925,11429,24372,21726,9642.2,8213.8,6465.5,6180.4,0
AT1G14980.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055.1,0,0,12571,0,14806,11205,15246,0
AT1G15000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6395.6,8964.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G15140.1;AT1G15140.3;AT1G15140.2,473.43,0,20552,94.315,0,0,5737.9,323.15,0,0,23.579,0,49.375,3180.1,0,0,0,0,0,1263.7,21.042,2189.3,0,2768.7,0,1593,7291.8,35001,90641,283390,269560,86328,30600,11687,2074.3,506.75,0,0
AT1G15270.1,0,0,0,0,0,0,0,0,0,0,0,0,0,152.92,0,0,0,0,0,792.88,0,0,994.75,0,0,0,0,0,0,0,0,0,0,0,0,0,31077,19259
AT1G15340.1;AT1G15340.2,0,0,17972,0,0,0,0,0,0,0,0,0,0,6540.3,125.5,0,0,0,4317.5,0,0,0,8902,3939.7,0,1994.8,4426.4,0,3096.9,0,0,2592.6,0,3155.4,16108,13508,72378,45587
AT1G15930.2;AT1G15930.1,0,0,28479,0,0,0,13208,0,0,0,0,0,0,0,0,0,0,0,0,1206.2,0,0,1939.7,0,0,0,0,0,0,0,0,2293.8,2135.4,0,0,0,0,1312.1
AT1G15950.2;AT1G15950.1,319.56,0,0,0,74.541,0,0,0,50.859,0,0,0,0,0,38.201,0,0,50.859,0,0,46.8,3619.7,0,27.741,0,0,7200.4,8294.4,2422.7,3621,3370.9,0,0,0,0,3927.6,0,0
AT1G16080.1,788.75,783.95,425.46,0,96.147,0,111.68,1485.4,183.36,31.884,110.7,0,891.71,0,385.6,23.579,4630.2,1924.7,5046.7,848.94,0,1327.5,8105.8,4067.5,2946.6,11273,48286,247580,504900,679580,395210,56519,45965,3992.7,0,6574.7,0,758.74
AT1G16350.1;AT1G79470.1,467.9,0,0,232.22,0,0,23.118,0,0,0,0,0,0,15033,0,5105.4,7260.9,0,0,0,0,3496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.56
AT1G16470.2;AT1G16470.1,0,0,0,0,0,0,37538,0,0,0,0,0,0,0,0,0,0,0,0,1667.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G16720.1,0,0,114470,31.884,275.85,0,4313.9,6112.6,0,0,0,0,48.884,0,0,5439.4,14174,1341.7,5736.9,0,747.71,0,1335.7,4090.6,2277.4,0,0,0,0,0,0,1529.4,0,0,0,0,0,0
AT1G16880.1;AT1G16880.2,1569.5,380.62,59322,19.382,0,528.64,2083.8,0,0,0,11307,0,563.32,39964,0,5235.3,14003,4744.3,4352.5,430.04,0,0,3451.8,4638.8,1407.4,32489,153010,578530,441690,483330,199770,44999,51578,61390,44113,0,1167.4,8481.8
AT1G16890.2;AT1G16890.1;AT1G16890.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4655.8,4216.1,3307.3,433.93,0,0
AT1G17100.1,0,114.57,3580.2,0,27.329,0,0,0,52.388,0,0,31.884,64.628,116.22,40.921,28.642,0,0,148.94,0,0,0,0,0,5239.2,8679.7,12031,449.61,2334.5,1378.1,32025,51455,97468,130810,104930,83211,15865,3407.2
AT1G17160.2;AT1G17160.1,0,0,0,0,0,0,0,1309.1,0,0,36.438,0,23.953,0,0,0,0,0,0,0,130.95,0,25939,13688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G17220.1,0,283.99,6089.5,0,0,0,23.579,330.24,0,0,54.699,0,0,0,0,0,0,0,0,0,23.579,7622.2,4327.4,2642.7,0,2351.2,1739.5,723.87,2348,2978,0,0,0,0,0,0,0,0
