Protein IDs,Bio2_proteinGroups_F28,Bio2_proteinGroups_F29,Bio2_proteinGroups_F30,Bio2_proteinGroups_F31,Bio2_proteinGroups_F32,Bio2_proteinGroups_F33,Bio2_proteinGroups_F34,Bio2_proteinGroups_F35,Bio2_proteinGroups_F36,Bio2_proteinGroups_F37,Bio2_proteinGroups_F38,Bio2_proteinGroups_F39,Bio2_proteinGroups_F40,Bio2_proteinGroups_F41,Bio2_proteinGroups_F42,Bio2_proteinGroups_F43,Bio2_proteinGroups_F44,Bio2_proteinGroups_F45,Bio2_proteinGroups_F46,Bio2_proteinGroups_F47,Bio2_proteinGroups_F48,Bio2_proteinGroups_F49,Bio2_proteinGroups_F50,Bio2_proteinGroups_F51,Bio2_proteinGroups_F52,Bio2_proteinGroups_F53,Bio2_proteinGroups_F54,Bio2_proteinGroups_F55,Bio2_proteinGroups_F56,Bio2_proteinGroups_F57,Bio2_proteinGroups_F58,Bio2_proteinGroups_F59,Bio2_proteinGroups_F60,Bio2_proteinGroups_F61,Bio2_proteinGroups_F62,Bio2_proteinGroups_F63,Bio2_proteinGroups_F64,Bio2_proteinGroups_F65
AT1G01050.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10221,4317,0,5004.3,0,18797,0,0,0
AT1G01080.1;AT1G01080.2,2040.5,3317.5,252510,2832,0,0,37752,0,0,0,3742.1,5601.4,507,7872.3,0,0,0,3452.8,0,1482.1,0,0,0,3299.9,0,0,0,0,0,1974.7,2874.5,6054.4,0,0,0,0,0,0
AT1G01090.1,0,0,235850,0,140.54,0,0,0,0,0,0,0,0,1953.6,0,2589.7,0,2169.5,0,6503.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3893.5,0,0,0
AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3,0,0,121330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420.1;AT4G01070.2,0,0,0,14.536,0,0,0,0,0,0,0,0,0,0,0,24.227,0,0,0,0,0,0,0,0,0,0,3118.5,0,1647.5,0,0,0,0,0,0,0,0,0
AT1G01800.1;AT1G01800.2,649.84,518.6,0,23.546,0,0,0,0,0,0,33.411,2142.2,262.58,0,39.243,0,0,0,0,0,0,0,0,0,0,0,54.6,0,1265.7,94484,94652,39650,384.82,1730,0,0,2884.3,0
AT1G02500.2;AT1G02500.1,0,0,111990,0,0,0,9061.1,0,0,24.504,84.737,0,0,0,0,0,0,0,0,0,146.15,1340.2,0,1435.6,29644,48333,21499,8241.9,0,3712.3,5174.9,0,0,0,0,0,0,4448.9
AT1G02560.1,0,0,34958,0,0,138.68,9491.9,0,0,0,0,9475.6,189.68,265630,922.04,28569,103050,0,21850,0,0,0,0,0,0,0,0,0,10726,0,0,1460,0,0,0,0,0,0
AT1G02780.1,0,0,221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02920.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.67,0,2150.7,0,0,402.34,0,0,0,0,0,0,0,14499,0,25131,60839,170660,67769,46781,40749,6811.2,0,0
