"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT1G09130.2;AT1G09130.1;AT1G09130.3", 737.4,687.8,695.5,, 2,2, 3,17,,, 3,17.3,,, 25704,13229,,, 0.71,1.6232,,, 32347,38060,,
"AT1G09155.1", 719.4,724,734.5,, 1,1, 19,,,, 19.1,,,, 63238,,,, 0.75026,,,, 84094,,,
"AT1G09310.1", 717.6,637.7,720.9,, 2,2, 31,35,,, 31.2,36.5,,, 29955,9280.2,,, 0.78242,2.2777,,, 41542,33604,,
"AT1G09340.1", 1125,1126,1237,1273, 1,1, 3,,,, 2.99,,,, 1.0893e+07,,,, 0.71,,,, 1.3708e+07,,,
"AT1G09430.1", 767.9,769.9,792.8,811.3, 1,1, 26,,,, 26.3,,,, 47366,,,, 2.0329,,,, 1.7067e+05,,,
"AT1G09490.2;AT1G09490.1", 715,806.5,732.7,, 1,1, 30,,,, 30,,,, 45135,,,, 0.71,,,, 56799,,,
"AT1G09620.1", 708.7,714.7,724.2,, 1,1, 17,,,, 17,,,, 26736,,,, 0.71004,,,, 33648,,,
"AT1G09640.1;AT1G09640.2", 767.5,727,,, 2,1, 7,12,,, 7.25,,,, 3.0084e+05,,,, 0.71,,,, 3.7859e+05,,,
"AT1G09750.1", 880.8,891.4,901.9,913.5, 1,1, 28,,,, 27,,,, 2.0246e+05,,,, 2.6372,,,, 9.4637e+05,,,
"AT1G09780.1", 851.5,862.2,873.1,884.7, 1,1, 26,,,, 25.7,,,, 1.7937e+05,,,, 1.4384,,,, 4.5731e+05,,,
"AT1G09830.1", 743.6,754.1,764.7,, 1,1, 26,,,, 25.5,,,, 42448,,,, 1.5857,,,, 1.193e+05,,,
"AT1G10370.1", 728.8,761.5,752.3,761.5, 1,1, 28,,,, 27.1,,,, 24080,,,, 2.9195,,,, 1.2461e+05,,,
"AT1G10760.1;AT4G24450.1", 791.9,798.5,807,818.3, 1,1, 19,,,, 18.4,,,, 77473,,,, 1.7281,,,, 2.3729e+05,,,
"AT1G11430.1", 728.5,724.9,,, 2,1, 10,34,,, 34.1,,,, 58543,,,, 2.1181,,,, 2.1939e+05,,,
"AT1G11580.1", 585.4,573.6,584.3,595.2, 2,1, 30,37,,, 37.1,,,, 22253,,,, 0.71,,,, 27907,,,
"AT1G11650.1;AT1G11650.2", 701.9,705.2,692.5,, 3,3, 25,30,35,, 25.1,31.5,35.5,, 2834.2,4984.5,11407,, 1.2361,2.3365,0.9664,, 6209.4,20643,19538,
"AT1G11750.1;AT1G11750.2", 752.6,747.7,,, 2,2, 3,14,,, 3,15.5,,, 14629,14474,,, 0.71001,2.4217,,, 18410,62126,,
"AT1G11840.4;AT1G11840.3;AT1G11840.2;AT1G11840.1;AT1G11840.6;AT1G11840.5", 805.1,790.3,798,808.6, 2,1, 27,32,,, 31.5,,,, 4.1464e+05,,,, 1.5688,,,, 1.1529e+06,,,
"AT1G11860.3;AT1G11860.2;AT1G11860.1", 950.7,951.1,961.9,972.8, 1,1, 29,,,, 29.2,,,, 1.1647e+06,,,, 2.1985,,,, 4.5385e+06,,,
"AT1G11910.1;AT1G62290.2;AT1G62290.1", 809.9,819.7,830.4,, 1,1, 3,,,, 3,,,, 2.6963e+05,,,, 0.71,,,, 3.3932e+05,,,
"AT1G11930.2;AT1G11930.1", 700.5,700.8,,, 1,1, 31,,,, 30.8,,,, 29179,,,, 0.71,,,, 36720,,,
"AT1G12050.1", 702.3,709.3,,, 1,1, 24,,,, 23.2,,,, 32548,,,, 1.7833,,,, 1.0288e+05,,,
"AT1G12230.1;AT1G12230.2", 642.3,667.4,,, 1,1, 30,,,, 29.2,,,, 2803.5,,,, 3.6332,,,, 18051,,,
"AT1G12240.1", 705.8,702.2,,, 2,1, 25,34,,, 25.4,,,, 43777,,,, 0.99224,,,, 76990,,,
"AT1G12270.1", 612.8,583.9,,, 2,2, 16,27,,, 16,27,,, 3227.5,4366.3,,, 0.71,0.71,,, 4061.6,5494.7,,
"AT1G12310.1", 663,,,, 1,1, 35,,,, 34.7,,,, 15211,,,, 0.81243,,,, 21904,,,
"AT1G12410.1", 673.3,694,,, 1,1, 17,,,, 17,,,, 28124,,,, 0.71,,,, 35393,,,
"AT1G12900.2", 1039,993.8,1146,1129, 2,2, 3,7,,, 3,7.25,,, 2.2791e+06,1.0402e+06,,, 0.71,0.71005,,, 2.8681e+06,1.3091e+06,,
